Wavelength (nm)	"60, Inorg Chem 1998_4493, 9a Co"
200.00	
201.00	
202.00	
203.00	
204.00	
205.00	
206.00	
207.00	
208.00	
209.00	
210.00	
211.00	
212.00	
213.00	
214.00	
215.00	
216.00	
217.00	
218.00	
219.00	
220.00	
221.00	
222.00	
223.00	
224.00	
225.00	
226.00	
227.00	
228.00	
229.00	
230.00	
231.00	
232.00	
233.00	
234.00	
235.00	
236.00	
237.00	
238.00	
239.00	
240.00	
241.00	
242.00	
243.00	
244.00	
245.00	
246.00	
247.00	
248.00	
249.00	
250.00	
251.00	
252.00	
253.00	
254.00	
255.00	
256.00	
257.00	
258.00	
259.00	
260.00	
261.00	
262.00	
263.00	
264.00	
265.00	
266.00	
267.00	
268.00	
269.00	
270.00	
271.00	
272.00	
273.00	
274.00	
275.00	
276.00	
277.00	
278.00	
279.00	
280.00	
281.00	
282.00	
283.00	
284.00	
285.00	
286.00	
287.00	
288.00	
289.00	
290.00	
291.00	
292.00	
293.00	
294.00	
295.00	
296.00	
297.00	
298.00	
299.00	
300.00	
301.00	
302.00	
303.00	
304.00	
305.00	
306.00	
307.00	
308.00	
309.00	
310.00	
311.00	
312.00	
313.00	
314.00	
315.00	
316.00	
317.00	
318.00	
319.00	
320.00	
321.00	
322.00	
323.00	
324.00	
325.00	
326.00	
327.00	
328.00	
329.00	
330.00	
331.00	
332.00	
333.00	
334.00	
335.00	
336.00	
337.00	
338.00	
339.00	
340.00	
341.00	
342.00	
343.00	
344.00	
345.00	
346.00	
347.00	
348.00	
349.00	
350.00	0.92477
351.00	0.92691
352.00	0.92906
353.00	0.93102
354.00	0.93298
355.00	0.93493
356.00	0.93694
357.00	0.93902
358.00	0.94109
359.00	0.94316
360.00	0.94569
361.00	0.94840
362.00	0.95111
363.00	0.95381
364.00	0.95676
365.00	0.95987
366.00	0.96299
367.00	0.96630
368.00	0.97014
369.00	0.97399
370.00	0.97785
371.00	0.98173
372.00	0.98560
373.00	0.98874
374.00	0.99104
375.00	0.99212
376.00	0.99129
377.00	0.99045
378.00	0.98830
379.00	0.98625
380.00	0.98546
381.00	0.98468
382.00	0.98440
383.00	0.98419
384.00	0.98415
385.00	0.98453
386.00	0.98491
387.00	0.98559
388.00	0.98648
389.00	0.98737
390.00	0.98876
391.00	0.99038
392.00	0.99199
393.00	0.99361
394.00	0.99427
395.00	0.99488
396.00	0.99557
397.00	0.99716
398.00	0.99876
399.00	0.99939
400.00	1.0000
401.00	0.99922
402.00	0.99844
403.00	0.99639
404.00	0.99377
405.00	0.98919
406.00	0.98461
407.00	0.97890
408.00	0.97275
409.00	0.96660
410.00	0.95998
